1,"There are more than 500 million domestic cats in the world, with approximately 40 recognized breeds."
2,"The cat has 500 skeletal muscles (humans have 650)."
3,"The silks created by weavers in Baghdad were inspired by the beautiful and varied colors and markings of cat coats. These fabrics were called 'tabby' by European traders."
4,A cats field of vision is about 185 degrees.
5,"The name ""jaguar"" comes from a Native American word meaning ""he who kills with one leap""."
6,"Like humans, cats tend to favor one paw over another"
7,The cat's tail is used to maintain balance.
8,Jaguars are the only big cats that don't roar.
9,"A cat named Dusty, aged 1 7, living in Bonham, Texas, USA, gave birth to her 420th kitten on June 23, 1952."
10,Purring does not always indicate that a cat is happy. Cats will also purr loudly when they are distressed or in pain.
11,A steady diet of dog food may cause blindness in your cat - it lacks taurine.
12,"Researchers believe the word “tabby” comes from Attabiyah, a neighborhood in Baghdad, Iraq. Tabbies got their name because their striped coats resembled the famous wavy patterns in the silk produced in this city."
13,"The first cat in space was a French cat named Felicette (a.k.a. “Astrocat”) In 1963, France blasted the cat into outer space. Electrodes implanted in her brains sent neurological signals back to Earth. She survived the trip."
14,Statistics indicate that animal lovers in recent years have shown a preference for cats over dogs!
15,"Cats, just like people, are subject to asthma. Dust, smoke, and other forms of air pullution in your cat's environment can be troublesome sources of irritation."
16,"While many cats enjoy milk, it will give some cats diarrhea."
17,Cats are North America’s most popular pets: there are 73 million cats compared to 63 million dogs. Over 30% of households in North America own a cat.
